stateabrev,radiocallsgn,trackname,trackartist,trackalbum,trackstyles,trackmp3filename,captureyear,capturemonth,captureday,capturehour,captureminute,capturesecond
WA,KACS,Less Like Me,Zach Williams,Rescue Story,"Gospel,Country,Country Rock",KACS2021_10_26_T12_00_26.mp3,2021,10,26,12,00,26
WA,KACS,Heaven Is The Face,Steven Curtis Chapman,Beauty Will Rise,"Gospel,Religious",KACS2021_10_27_T11_28_52.mp3,2021,10,27,11,28,52
WA,KACS,Bloodwashed Pilgrim,Crystal Lewis,(Hymns) My Life,"Gospel,Easy Listening",KACS2021_10_27_T12_31_59.mp3,2021,10,27,12,31,59
WA,KACS,To Cry for You,Carolyn Arends,To Cry for You,,KACS2021_10_27_T16_20_34.mp3,2021,10,27,16,20,34
WA,KACS,Christ In You [Instrumental],Integrity Music,Experience Hope [Instrumental],Religious,KACS2021_11_03_T14_33_11.mp3,2021,11,03,14,33,11
WA,KACS,My Jesus,Anne Wilson,My Jesus,Gospel,KACS2021_11_03_T15_33_54.mp3,2021,11,03,15,33,54
WA,KAOS,"A Love Supreme, Pt. II – Resolution (Live)",John Coltrane,A Love Supreme: Live In Seattle,,KAOS2021_10_25_T21_00_23.mp3,2021,10,25,21,00,23
WA,KAOS,The Way To Gone,Black Mountain,Wilderness Heart,"Blues Rock,Stoner Rock,Psychedelic Rock,Indie Rock",KAOS2021_11_03_T10_39_45.mp3,2021,11,03,10,39,45
WA,KAOS,Something,Chandra,Transportation,No Wave,KAOS2021_11_03_T14_43_08.mp3,2021,11,03,14,43,08
WA,KBFG,Mexico Esperanza,Dick Dale,Spacial Disorientation,Surf,KBFG2021_11_03_T11_25_47.mp3,2021,11,03,11,25,47
WA,KBFG,La Pistola Y El Corazón,Los Lobos,La Pistola Y El Corazon,"Norteño,Son,Ranchera,Mariachi",KBFG2021_11_03_T11_55_08.mp3,2021,11,03,11,55,08
WA,KCMS,Miracles,Colton Dixon,Miracles,,KCMS2021_10_25_T21_05_27.mp3,2021,10,25,21,05,27
WA,KCMS,Believe For It,CeCe Winans,Believe For It [Live],"Gospel,Vocal",KCMS2021_11_03_T10_53_34.mp3,2021,11,03,10,53,34
WA,KCMS,The Thanksgiving Song,Ben Rector,The Thanksgiving Song,,KCMS2021_11_03_T14_57_40.mp3,2021,11,03,14,57,40
WA,KDDS,Cómo Te Olvido,La Arrolladora Banda El Limón De René Camacho,Cómo Te Olvido,"Norteño,Corrido,Cumbia,Tejano",KDDS2021_10_26_T12_10_54.mp3,2021,10,26,12,10,54
WA,KDDS,Cómo Te Olvido,La Arrolladora Banda El Limón De René Camacho,Cómo Te Olvido,"Norteño,Corrido,Cumbia,Tejano",KDDS2021_11_03_T15_50_28.mp3,2021,11,03,15,50,28
WA,KEGX,Remedy,The Black Crowes,Sho' Nuff,"Blues Rock,Rock & Roll,Southern Rock",KEGX2021_10_24_T23_57_37.mp3,2021,10,24,23,57,37
WA,KEGX,Can't Get Enough,Bad Company,10 From 6,"Hard Rock,Classic Rock",KEGX2021_10_25_T19_57_09.mp3,2021,10,25,19,57,09
WA,KEGX,Dust in the Wind,Kansas,The Best Of Kansas,"Rock & Roll,Hard Rock,Classic Rock,Prog Rock",KEGX2021_10_25_T21_05_15.mp3,2021,10,25,21,05,15
WA,KEGX,Burnin' for You,Blue Öyster Cult,Collections,Hard Rock,KEGX2021_10_25_T21_11_25.mp3,2021,10,25,21,11,25
WA,KEGX,Free Fallin',Tom Petty,Anthology: Through The Years,"Soft Rock,Pop Rock,Classic Rock",KEGX2021_10_26_T17_26_55.mp3,2021,10,26,17,26,55
WA,KEGX,You've Got Another Thing Comin',Judas Priest,British Steel/Point Of Entry/Screaming For Vengeance (3 Pak),"Hard Rock,Heavy Metal",KEGX2021_11_03_T14_57_09.mp3,2021,11,03,14,57,09
WA,KEWU,Esta Tarde Vi Llover,Eliane Elias,Mirror Mirror,"Post Bop,Latin Jazz",KEWU2021_10_26_T12_48_19.mp3,2021,10,26,12,48,19
WA,KEWU,I Love Being Here With You,Ernestine Anderson,Great Moments with Ernestine Anderson,Vocal,KEWU2021_11_03_T10_45_38.mp3,2021,11,03,10,45,38
WA,KEWU,Wading Through,Terence Blanchard,A Tale Of God's Will (A Requiem For Katrina),,KEWU2021_11_03_T11_21_08.mp3,2021,11,03,11,21,08
WA,KEWU,The Scene Is Clean,Clifford Brown,Clifford Brown And Max Roach At Basin Street,"Bop,Hard Bop",KEWU2021_11_03_T14_49_08.mp3,2021,11,03,14,49,08
WA,KEWU,In The Meantime,Joe Martin,Not By Chance,Contemporary Jazz,KEWU2021_11_03_T15_49_43.mp3,2021,11,03,15,49,43
WA,KEXP,Friends,Big Gigantic,Free Your Mind,Hip Hop,KEXP2021_10_25_T19_59_19.mp3,2021,10,25,19,59,19
WA,KEXP,holy calamafuck,Run The Jewels,holy calamafuck,,KEXP2021_10_26_T11_12_56.mp3,2021,10,26,11,12,56
WA,KEXP,The Joke,Brandi Carlile,The Joke,"Pop Rock,Rock & Roll,Country Rock,Country",KEXP2021_10_26_T12_19_42.mp3,2021,10,26,12,19,42
WA,KEXP,The Beachland Ballroom,IDLES,The Beachland Ballroom,,KEXP2021_10_26_T12_50_29.mp3,2021,10,26,12,50,29
WA,KEXP,Velouria,Pixies,Bossanova,Indie Rock,KEXP2021_10_27_T10_19_23.mp3,2021,10,27,10,19,23
WA,KEXP,Clean Air,Hand Habits,Fun House,,KEXP2021_10_27_T10_37_45.mp3,2021,10,27,10,37,45
WA,KEXP,Sunrise,Explosions In The Sky,Big Bend (An Original Soundtrack for Public Television),"Post Rock,Soundtrack",KEXP2021_10_27_T11_31_40.mp3,2021,10,27,11,31,40
WA,KEXP,Marching Bands of Manhattan,Death Cab for Cutie,Marching Bands of Manhattan,Indie Rock,KEXP2021_10_27_T12_05_38.mp3,2021,10,27,12,05,38
WA,KEXP,Nighttime Drive,Jay Som,Anak Ko,"Indie Rock,Lo-Fi,Indie Pop",KEXP2021_10_27_T12_28_13.mp3,2021,10,27,12,28,13
WA,KEXP,Come Around,Breeze,Only Up,"Post-Punk,Brit Pop,Alternative Rock,Dream Pop",KEXP2021_10_27_T12_31_57.mp3,2021,10,27,12,31,57
WA,KEXP,"Less Yes's, More No's",Busdriver,RoadKill Overcoat,Abstract,KEXP2021_10_27_T12_38_08.mp3,2021,10,27,12,38,08
WA,KEXP,Goodbye,The Sundays,Blind,Indie Rock,KEXP2021_11_03_T10_47_40.mp3,2021,11,03,10,47,40
WA,KEXP,Unbelievable,EMF,Le 100 Sexy Hit,"Alternative Rock,Ballad,Brit Pop,Hip Hop,House,Pop Rap,Pop Rock,RnB/Swing,Synth-pop,UK Garage",KEXP2021_11_03_T11_23_07.mp3,2021,11,03,11,23,07
WA,KEXP,The Rat,The Walkmen,Bows + Arrows,Indie Rock,KEXP2021_11_03_T11_52_22.mp3,2021,11,03,11,52,22
WA,KEXP,You Dropped A Bomb On Me,The Gap Band,Gap Gold - Best Of The Gap Band,Funk,KEXP2021_11_03_T14_51_08.mp3,2021,11,03,14,51,08
WA,KEZE,Problem,Ariana Grande,Problem,Pop Rap,KEZE2021_10_25_T20_58_50.mp3,2021,10,25,20,58,50
WA,KEZE,Stay,The Kid LAROI,Stay,,KEZE2021_10_26_T12_07_13.mp3,2021,10,26,12,07,13
WA,KEZE,Have Mercy,Chlöe,Have Mercy,"Indie Rock,Art Rock",KEZE2021_11_03_T11_38_27.mp3,2021,11,03,11,38,27
WA,KEZE,Pullin' Me Back,Chingy,Hoodstar,,KEZE2021_11_03_T14_38_37.mp3,2021,11,03,14,38,37
WA,KFAE,Bernstein: Candide / Act I - 1. Overture,London Symphony Orchestra,Famous Overtures,"Baroque,Classical,Romantic,Neo-Classical,Modern",KFAE2021_10_26_T12_06_04.mp3,2021,10,26,12,06,04
WA,KFAE,"Le Divertissement Royal, 1664-1670: Bourrée Du Divertissement De Chambord (1669) (Lully)",Jordi Savall,Jean-Baptiste Lully: L'Orchestre Du Roi Soleil,Baroque,KFAE2021_10_27_T16_19_59.mp3,2021,10,27,16,19,59
WA,KFAE,Rhapsody in Blue,Lincoln Mayorga,A Gershwin Celebration,,KFAE2021_11_03_T14_35_14.mp3,2021,11,03,14,35,14
WA,KGHP,Mrs. McGrath,Bruce Springsteen,We Shall Overcome: The Seeger Sessions (American Land Edition),"Folk Rock,Country Rock",KGHP2021_10_26_T12_54_13.mp3,2021,10,26,12,54,13
WA,KGRG,Not the Way It Was,Can't Swim,This Too Won't Pass,"Emo,Pop Punk,Post-Hardcore",KGRG2021_11_03_T11_20_38.mp3,2021,11,03,11,20,38
WA,KGRG,I'm Already Gone,A Day To Remember,Common Courtesy,"Pop Punk,Metalcore",KGRG2021_11_03_T11_49_53.mp3,2021,11,03,11,49,53
WA,KGRG,Sing Me to Sleep,Avion Roe,In Separation,,KGRG2021_11_03_T15_49_12.mp3,2021,11,03,15,49,12
WA,KHUH,Ghost Song,Air,The Virgin Suicides (Original Motion Picture Score),"Psychedelic Rock,Score,Downtempo,Ambient",KHUH2021_10_25_T21_05_58.mp3,2021,10,25,21,05,58
WA,KHUH,Cruisin USA,iji,Cruisin USA,Indie Pop,KHUH2021_10_26_T12_21_40.mp3,2021,10,26,12,21,40
WA,KHUH,Night Visions,Pale Coast,Pale Coast,"Ambient,Drone,Experimental,Psychedelic Rock,New Age,Synth-pop",KHUH2021_10_27_T16_19_49.mp3,2021,10,27,16,19,49
WA,KHUH,Dust Bunnies,Kurt Vile,Dust Bunnies,Indie Rock,KHUH2021_11_03_T10_30_17.mp3,2021,11,03,10,30,17
WA,KHUH,Kaplumbağaların Uykusuna Dek,Murat Kemaloğlu,Kaplumbağaların Uykusuna Dek,,KHUH2021_11_03_T11_30_39.mp3,2021,11,03,11,30,39
WA,KHUH,Marzipan,Cluster,Zuckerzeit,"Downtempo,Experimental",KHUH2021_11_03_T15_33_11.mp3,2021,11,03,15,33,11
WA,KIEV,Dallas,Alan Jackson,34 Number Ones,Country,KIEV2021_10_26_T12_08_10.mp3,2021,10,26,12,08,10
WA,KIEV,That's the Way Love Goes,Merle Haggard,The Essential Merle Haggard: The Epic Years,Country,KIEV2021_10_26_T12_41_38.mp3,2021,10,26,12,41,38
WA,KIEV,Family Tradition,"Hank Williams, Jr.",Best Of - All My Rowdy Friends,Country,KIEV2021_11_03_T11_13_55.mp3,2021,11,03,11,13,55
WA,KIEV,The Thunder Rolls,Garth Brooks,The Ultimate Hits,,KIEV2021_11_03_T11_41_31.mp3,2021,11,03,11,41,31
WA,KIEV,Give All You Can,Cody Jinks,I'm Not The Devil,Country,KIEV2021_11_03_T14_41_45.mp3,2021,11,03,14,41,45
WA,KIEV,The Way I Am,George Jones,"Kickin' Out The Footlights... Again: Jones Sings Haggard, Haggard Sings Jones",Country,KIEV2021_11_03_T15_42_29.mp3,2021,11,03,15,42,29
WA,KING,Scott Joplin: The Entertainer,Erich Kunzel,American Piano Classics,,KING2021_11_03_T11_56_28.mp3,2021,11,03,11,56,28
WA,KMIH,Dissolve,Absofacto,Thousand Peaces,Indie Rock,KMIH2021_10_26_T12_08_55.mp3,2021,10,26,12,08,55
WA,KMIH,Alone,Halsey,Alone,,KMIH2021_10_26_T12_43_39.mp3,2021,10,26,12,43,39
WA,KMIH,Shallow,Lady Gaga,Shallow,"Ballad,Country Rock",KMIH2021_11_03_T10_40_15.mp3,2021,11,03,10,40,15
WA,KMIH,deja vu,Olivia Rodrigo,deja vu,"Power Pop,Pop Punk,Acoustic,Ballad",KMIH2021_11_03_T11_15_50.mp3,2021,11,03,11,15,50
WA,KMIH,Hang Loose,Alabama Shakes,Boys & Girls,Southern Rock,KMIH2021_11_03_T14_43_38.mp3,2021,11,03,14,43,38
WA,KMIH,Levitating,Dua Lipa,Levitating,"House,Dance-pop",KMIH2021_11_03_T15_44_22.mp3,2021,11,03,15,44,22
WA,KMRE,I'm On Your Side,Bonnie Raitt,Fundamental,"Blues Rock,Pop Rock",KMRE2021_11_03_T14_34_43.mp3,2021,11,03,14,34,43
WA,KMRE,Bank Robber,Eli Paperboy Reed,Bank Robber,Soul,KMRE2021_11_03_T15_35_28.mp3,2021,11,03,15,35,28
WA,KNHC,Don't Be Shy,Tiësto,Don't Be Shy,Dance-pop,KNHC2021_10_25_T21_02_46.mp3,2021,10,25,21,02,46
WA,KNHC,Future Starts Now,Kim Petras,Future Starts Now,"Synth-pop,Electro",KNHC2021_10_26_T12_50_20.mp3,2021,10,26,12,50,20
WA,KNHC,I'm Not Alone,Calvin Harris,Today's Hits,Europop,KNHC2021_11_03_T10_47_34.mp3,2021,11,03,10,47,34
WA,KNHC,I Wanna Be There,"DubVision, ANML KNGDM",I Wanna Be There,Progressive House,KNHC2021_11_03_T11_23_02.mp3,2021,11,03,11,23,02
WA,KNHC,High Hopes (Don Diablo Remix),Panic! At The Disco,High Hopes (Don Diablo Remix),Electro,KNHC2021_11_03_T11_52_17.mp3,2021,11,03,11,52,17
WA,KNHC,Teenage Dream,Katy Perry,Teenage Dream - Remix EP,,KNHC2021_11_03_T14_51_02.mp3,2021,11,03,14,51,02
WA,KNKX,Barefoot Sunday Blues,Cannonball Adderley Quartet,Cannonball Takes Charge,"Hard Bop,Bop,Soul-Jazz",KNKX2021_10_25_T21_01_22.mp3,2021,10,25,21,01,22
WA,KNKX,Mile High,Yellowjackets,Jackets XL,,KNKX2021_11_03_T11_18_46.mp3,2021,11,03,11,18,46
WA,KNKX,The Rhythm Section,Dan Wilson,Vessels of Wood and Earth,,KNKX2021_11_03_T11_46_18.mp3,2021,11,03,11,46,18
WA,KNKX,Madrid,Brad Mehldau,Madrid,Contemporary Jazz,KNKX2021_11_03_T15_47_18.mp3,2021,11,03,15,47,18
WA,KOSW,Levon,Elton John,Madman Across The Water,"Pop Rock,Classic Rock",KOSW2021_11_03_T10_33_47.mp3,2021,11,03,10,33,47
WA,KOSW,Life Is A Carnival,The Band,To Kingdom Come (The Definitive Collection),"Folk Rock,Country Rock,Blues Rock,Classic Rock",KOSW2021_11_03_T11_35_36.mp3,2021,11,03,11,35,36
WA,KPBX,Let It Be (Remaster),The Beatles,Let It Be (Remastered),Pop Rock,KPBX2021_11_03_T15_32_34.mp3,2021,11,03,15,32,34
